"","Project","Species","Diet","Location","richness","shannon","simp.even","J"
"RvSAJ030","FrogMicro","variabilis","egg fed","lab",505,3.42595134294844,0.0309241413562455,0.570622216017049
"RiNEW021","FrogMicro","imitator","detritus","field",1204,3.75117038824009,0.010855959580845,0.552082211859341
"RvSAJ025","FrogMicro","variabilis","detritus","field",877,4.00536986291727,0.012292091338508,0.603467553022365
"RvSAJ026","FrogMicro","variabilis","detritus","field",1359,3.87006578513322,0.00884559794704112,0.566019804801791
"RvSAJ018","FrogMicro","variabilis","detritus","field",791,3.24903987387505,0.00902083329071324,0.510474015086502
"RvSAJ016","FrogMicro","variabilis","detritus","field",395,3.71492103684059,0.0472184570108462,0.621603565992245
"RvSAJ015","FrogMicro","variabilis","egg fed","lab",538,2.75309969055506,0.00699848914948077,0.446691395473231
"RiNEW024","FrogMicro","imitator","detritus","field",1156,4.34534144240734,0.0171985339953824,0.646839501842947
"RvSAJ021","FrogMicro","variabilis","egg fed","lab",567,3.62366984230007,0.0227526014465624,0.584798275844348
"RiWAS001","FrogMicro","imitator","egg fed","field",2076,6.04236127894433,0.0452003255614982,0.800914009670123
"RvSAJ020","FrogMicro","variabilis","detritus","field",980,4.85455445515195,0.0416496624037592,0.723687180194607
"RvSAJ014","FrogMicro","variabilis","egg fed","lab",582,3.54963857690219,0.0117439604249886,0.567072830233139
"RiNEW008","FrogMicro","imitator","egg fed","field",817,4.40034304116813,0.0307874740234822,0.667978691814936
"RiNEW006","FrogMicro","imitator","egg fed","field",732,4.9160458675947,0.0598758976692792,0.74960317078064
"RiNEW025","FrogMicro","imitator","detritus","field",871,4.642730896593,0.0496376945798908,0.692362179192097
"RiNEW023","FrogMicro","imitator","detritus","field",1134,4.70177903420399,0.0295078770068648,0.678898910546445
"RvSAJ024","FrogMicro","variabilis","detritus","field",706,5.16704178560757,0.105556027843157,0.794588438058672
